Roles,Companies,Locations,Experience,Salaries,Skills
Application Developer,Accenture,Jaipur,3-8 Yrs,Not Disclosed Yet,"Css, Html, Javascript, .Net, Web Application Development, Ado.Net, Microsoft Asp.Net, Ajax"
Application Developer,Accenture,Indore,5-10 Yrs,Not Disclosed Yet,"Mongodb, Rest, Javascript, Node, Node.Js, Css, Web Services, Jsp"
Application Developer,Accenture,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Api Management, Development Methodologies, Application Development, Debugging, Troubleshooting, C#, Rest, Css"
Application Developer,Accenture,Bengaluru,3-8 Yrs,Not Disclosed Yet,"Mobile Application Development, Git, Rest, React Native, Agile, Css, Web Services, Dbms"
Application Developer,Accenture,Hyderabad,3-8 Yrs,Not Disclosed Yet,"Css, Magento Commerce, Html, Adobe, Javascript, Web Services, Wordpress, Jsp"
Application Developer,Accenture,Bengaluru,15-20 Yrs,Not Disclosed Yet,"Sap, Application Lifecycle Management, Javascript, Application Development, Api, Css, Python, Oracle"
Relationship Manager - Mf,Equitas Small Finance Bank,"Chennai, Chengalputtu, South, Tamil Nadu, Chengalpat, Chennai-South 1, 1183, Inclusive Banking - Mf",0-4 Yrs,Not Disclosed Yet,"Market Research, Customer Service, Mutual Funds, Bfsi, Tools, Management, Research, Product Development"
Management Trainee-Kotak Private Banking-Relationship Manager,Kotak Life Insurance,Mumbai,0-2 Yrs,Not Disclosed Yet,"Commercial Banking, Business Development, Financial Services, Microsoft Office Suite, Mutual Funds, Investment Banking, Stock Broking, Retail Assets"
Branch:Relationship Manager - Priority Banking,Axis Bank,New Delhi,7-9 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Relationship Manager / Operation Head--Bank Fresher & Exprience Both,Next Business Services India,"Noida, Dehradun, Rewari, Bhiwandi, Faridabad, Gurugram, Manesar, Delhi / Ncr",0-4 Yrs,2.25-4 Lacs Pa,"Operation Head, Banking Operations, Non Voice Process, Cash Handling, Back Office, Retail Banking, Loan, Manager"
Service Relationship Manager- Affluent Banking,Indusind Bank,"Noida, New Delhi, Gurugram",1-5 Yrs,Not Disclosed Yet,"Hni Client Handling, Service Delivery, Branch Banking Operations, Escalation Management, Branch Operations, Banking Operations, Branch Management, Cash Handling"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,New Delhi,0-5 Yrs,Not Disclosed Yet,"Sales Initiatives, Sales, Business Banking, Mf, Asset, Export Finance, Customer Service Orientation, Customer Relationship"
Relationship Manager - Merchant Od,Equitas Small Finance Bank,"Pallavaram, Chennai, 1201, Inclusive Banking - Sbl, Madipakkam, South, Tamil Nadu, Chennai-South 1",0-4 Yrs,Not Disclosed Yet,"Sales, Negotiation, Application Software, Networking, Bfsi, Housing, Software Applications, Affordable Housing"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,Gurugram,0-5 Yrs,Not Disclosed Yet,"Sales Initiatives, Sales, Business Banking, Mf, Asset, Export Finance, Customer Service Orientation, Customer Relationship"
Corporate Relationship Manager - Digital Banking,Kotak Life Insurance,Mumbai,0-1 Yrs,Not Disclosed Yet,"Cold Calling, Corporate Relationship Management, Sales, Current Account, Acquisition, Business Development, Corporate Sales, Marketing"
Corporate Relationship Manager - Digital Banking,Kotak Life Insurance,Mumbai,0-1 Yrs,Not Disclosed Yet,"Cold Calling, Sales, Current Account, Acquisition, Corporate Banking, Financial Analysis, Retail Banking, Casa"
Relationship Manager-Business Banking-Affluent-Priority-Regional Sales,Kotak Life Insurance,"Chandigarh, India",0 Yrs,Not Disclosed Yet,"Customer Relationship, Customer Service, Sales, Business Banking, Portfolio, Sales Initiatives, Business Development, Wc"
Relationship Manager-Business Banking-Affluent-Priority-Regional Sales,Kotak Life Insurance,"Ludhiana, India",0 Yrs,Not Disclosed Yet,"Customer Relationship, Customer Service, Sales, Business Banking, Portfolio, Sales Initiatives, Business Development, Wc"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,Bengaluru,0-5 Yrs,Not Disclosed Yet,"Sales Initiatives, Sales, Business Banking, Mf, Asset, Export Finance, Customer Service Orientation, Customer Relationship"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,Indore,0-5 Yrs,Not Disclosed Yet,"Forex, Trade, Mf, Asset, Ca, Export Finance, Customer Service Orientation, Customer Relationship"
Ho Acquisition Manager - Digital Sales-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Pune,0-2 Yrs,Not Disclosed Yet,"Digital Sales, Presentation Skills, Business Development, Sales, Kyc, Digital Marketing, Corporate Sales, Internet Sales"
"Associate, Branch Manager, Consumer Banking Group",Dbs Bank,Hubli,6-8 Yrs,Not Disclosed Yet,"Public Relations, Interpersonal Skills, Sales, External Audit, Branch Operations, Branch Handling, Consumer Banking, Customer Service"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,Mumbai,0-5 Yrs,Not Disclosed Yet,"Sales Initiatives, Sales, Business Banking, Mf, Asset, Export Finance, Customer Service Orientation, Customer Relationship"
Senior Relationship Manager-Branch Banking,Ujjivan Small Finance Bank,"Kolkata, Kasba",4-6 Yrs,Not Disclosed Yet,"Portfolio, Mis, Wealth Management, Financial Planning, Crm, Hni, Customer Profiling, Cross Selling"
Elite Relationship Manager-Household-Branch Banking-Branch Banking,Kotak Life Insurance,"Gurugram, India",0 Yrs,Not Disclosed Yet,"Customer Service, Sales Initiatives, Sales, Mf, Asset, Customer Service Orientation, Customer Complaints, Business Development"
Elite Relationship Manager-Household-Branch Banking-Branch Banking,Kotak Life Insurance,"Chennai, India",0 Yrs,Not Disclosed Yet,"Customer Service, Sales Initiatives, Sales, Mf, Asset, Customer Service Orientation, Customer Complaints, Business Development"
Management Trainee-Kotak Private Banking-Product Manager,Kotak Life Insurance,Mumbai,0-3 Yrs,Not Disclosed Yet,"Finance, C++, Project Management, Windows Xp, Business Development, Photoshop, Sketchup, Framemaker"
Relationship Manager Customer Engagement (Rmce)-Branch Banking-Ro-Ce,Kotak Life Insurance,New Delhi,1-6 Yrs,Not Disclosed Yet,"Sales, Customer Acquisition, Relationship Management, Finance, Branch Banking, Casa, Customer Service, Business Development"
Service Relationship Manager - Affluent Banking,Indusind Bank,Mumbai (All Areas),2-6 Yrs,Not Disclosed Yet,"Service Operations Management, Banking Operations, Service Delivery, Service Desk, Service Operations, Hni Sales, Branch Operation, Teller Operations"
Relationship Manager - Branch Banking,Kotak Life Insurance,New Delhi,3-5 Yrs,Not Disclosed Yet,"Amfi, Sales, Relationship Management, Irda, Branch Banking, Casa, Sales Initiatives, Customer Complaints"
"Sr Officer, Branch Relationship Manager, Consumer Banking Group",Dbs Bank,New Delhi,5-10 Yrs,Not Disclosed Yet,"Relationship Management, Due Diligence, Penetration, Regulatory Compliance, Consumer Banking, Customer Service, Sales Process, Banking Products"
Assistant Relationship Manager | Retail Banking-Fresher,Next Business Services India,"Noida, Haridwar, Kashipur, Ghaziabad, Rudrapur, Haldwani, Gurugram, Delhi / Ncr",0-4 Yrs,2.25-4 Lacs Pa,"Retail Banking, Private Banking, Assistant Relationship, Relationship Manager, Branch Banking, Banking Sales, Business Analysis, Marketing"
Management Trainee-Kotak Private Banking- Relationship Manager,Kotak Life Insurance,Mumbai,0-2 Yrs,Not Disclosed Yet,"Relationship Management, Commercial Banking, Investment Banking, Stock Broking, Business Development, Retail Assets, Financial Services, Retail"
Walk In Interview- Premium Acquisition Manager- Affluent Banking,Indusind Bank,New Delhi,16 Jul - 19 Jul,Not Disclosed Yet,"Premier Banking, Hni Acquisition, Casa Acquisition, Retail Banking, Private Banking, Priority Banking, Premium Account, Hni Client Handling"
Platinum Relationship Manager-Household-Branch Banking-Branch Banking,Kotak Life Insurance,New Delhi,1-6 Yrs,Not Disclosed Yet,"Customer Service, Sales Initiatives, Customer Complaints, Sales, Asset, Customer Service Orientation, Business Development, Cross Selling"
Premium Acquisition Manager- Affluent Banking,Indusind Bank,New Delhi,1-6 Yrs,Not Disclosed Yet,"Hni Acquisition, Hni Client Handling, Casa Acquisition, Current Account, Preferred Banking, Deposits, Premier Banking, Nri"
Ho Acquisition Manager - Digital Sales - Digital Banking - Sales,Kotak Life Insurance,Rajkot,0-2 Yrs,Not Disclosed Yet,"Ppap, Digital Banking, Kyc, Liability Sales, Business Development, Customer Handling, Acquisition, Development"
Ho Acquisition Manager - Digital Sales-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Ahmedabad,0-2 Yrs,Not Disclosed Yet,"Digital Sales, Presentation Skills, Business Development, Sales, Kyc, Digital Marketing, Corporate Sales, Internet Sales"
"Analyst, Branch Operations Manager, Consumer Banking Group",Dbs Bank,Bengaluru,2-6 Yrs,Not Disclosed Yet,"Analytical Skills, Branch Banking Operations, Branch Head, Software Packages, Branch Banking, Process Improvement, Consumer Banking, Banking Products"
"Senior Officer, Branch Relationship Manager, Consumer Banking Group",Dbs Bank,Hyderabad,3-8 Yrs,Not Disclosed Yet,"Data Analysis, Financial Planning, Banking, Relationship, Consumer Banking, Customer Service, Customer Experience, Financial Services"
Elite Relationship Manager-Household-Branch Banking-Branch Banking,Kotak Life Insurance,New Delhi,1-5 Yrs,Not Disclosed Yet,"Customer Service, Sales Initiatives, Sales, Mf, Asset, Customer Service Orientation, Customer Complaints, Business Development"
Ho Acquisition Manager- Digital Sales- Digital Banking- Regional Sales,Kotak Life Insurance,Mumbai,0-2 Yrs,Not Disclosed Yet,"Coaching, Kyc, Client Acquisition, Liability Sales, Customer Handling, Acquisition, Management, Sales"
"Associate, Branch Manager, Consumer Banking Group",Dbs Bank,Kolkata,6-8 Yrs,Not Disclosed Yet,"Public Relations, Interpersonal Skills, Sales, Sales Operations, External Audit, Relationship, Consumer Banking, Customer Service"
Ho Acquisition Manager - Digital Sales-Digital Banking -Sales,Kotak Life Insurance,Chennai,0-2 Yrs,Not Disclosed Yet,"Sales, Kyc, Liability Sales, Digital Sales, Cross Selling, Customer Relationship Management, Relationship Management, Crm"
Ho Acquisition Manager - Digital Sales-Digital Banking Kotak 811-Sales,Kotak Life Insurance,Surat,0-2 Yrs,Not Disclosed Yet,"Digital Sales, Presentation Skills, Business Development, Sales, Kyc, Digital Marketing, Corporate Sales, Internet Sales"
Manager-Support-Digital Banking Kotak 811-Regional Sales,Kotak Life Insurance,"Mumbai, India",0 Yrs,Not Disclosed Yet,"Customer Service, Regional Sales, Sales Support, Sales, Recruitment, Area Sales Management, Channel Sales, Business Development"
"Officer, Branch Relationship Manager, Consumer Banking Group",Dbs Bank,Noida,5-10 Yrs,Not Disclosed Yet,"Relationship Management, Due Diligence, Penetration, Regulatory Compliance, Consumer Banking, Customer Service, Sales Process, Banking Products"
Branch Manager - Branch Banking,Ujjivan Small Finance Bank,"Arwal, Bagodar, Arambag",5-6 Yrs,Not Disclosed Yet,"Customer Service, Branch Management, Sales, Bank Branch Management, Branch Operations, Service Quality, Casa, Business Development"
Branch:Relationship Manager - Priority Banking,Axis Bank,Ballari,7-9 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Anklesvar,6-10 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
"Senior Officer, Branch Relationship Manager, Consumer Banking Group",Dbs Bank,Noida,5-10 Yrs,Not Disclosed Yet,"Relationship Management, Due Diligence, Penetration, Regulatory Compliance, Consumer Banking, Customer Service, Sales Process, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Aluva,5-8 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Bilaspur,7-9 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Surat,5-8 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Deputy Branch Manager-Branch Banking-Branch Banking,Kotak Life Insurance,New Delhi,6-8 Yrs,Not Disclosed Yet,"Casa, Sales, Bank Branch Management, Tpp, Branch Banking, Retail Banking, Customer Service, Business Development"
Branch:Relationship Manager - Priority Banking,Axis Bank,Gandhidham,8-12 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch Sales Manager - Branch Banking,Ujjivan Small Finance Bank,"Bhubaneswar, Bardhaman, Dhanbad",5-6 Yrs,Not Disclosed Yet,"Branch Sales, Customer Service, Sales, Banking Sales, Branch Banking, Retail Banking, Team Handling, Business Development"
Branch:Relationship Manager - Priority Banking,Axis Bank,Bengaluru,5-8 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Bengaluru,8-12 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Hiring For Branch Managers - Retail Branch Banking - Hyderabad,Hdfc Bank,Hyderabad,10-16 Yrs,Not Disclosed Yet,"Team Handling, Branch Handling, Branch Banking, Branch Operations, Cross Selling, Retail Liabilities, Liabilities, Selling"
Investment Relationship Manager-Branch Banking-Branch Banking,Kotak Life Insurance,Pune,2-6 Yrs,Not Disclosed Yet,"Amfi, Sales, Relationship Management, Irda, Branch Banking, Nri, Channel Sales, Customer Service"
Branch:Relationship Manager - Priority Banking,Axis Bank,Ernakulam,7-9 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
Branch:Relationship Manager - Priority Banking,Axis Bank,Mumbai,5-8 Yrs,Not Disclosed Yet,"Financial Statements, Penetration, Networking, Branch Banking, Analytical, Relationship Building, Customer Engagement, Banking Products"
"Analyst, Branch Operations Manager, Consumer Banking Group",Dbs Bank,Noida,4-6 Yrs,Not Disclosed Yet,"Analytical Skills, Branch Banking Operations, Branch Head, Software Packages, Branch Banking, Process Improvement, Consumer Banking, Banking Products"
"Relationship Manager, Retail Banking Group",Next Business Services India,"Noida, Haridwar, Dehradun, Rewari, Roorkee, Faridabad, Gurugram, Bhiwadi, Delhi / Ncr",0-4 Yrs,2.25-4 Lacs Pa,"Operation Head, Retail Banking, Relationship Manager, Audit, Back Office, Loan, Manager, Non Voice Process"
Manager-Products Branch Banking,Ujjivan Small Finance Bank,Bengaluru,5-8 Yrs,Not Disclosed Yet,"Aml, Sales, Marketing, Retail Liabilities, Banking Sales, Customer Relationship, Training Needs, Regulatory"
Relationship Manager - Micro Enterprise Group - Hdfc Bank,Hdfc Bank,"Bardhaman, Sambalpur, Rangpo",2-5 Yrs,3-6.5 Lacs Pa,"Sales, Gst Loan, Business Loan, Sme Finance, Sme Sales, Od, Msme Loan, Field Sales"
Bharat Banking:Relationship Manager - B2C,Axis Bank,Bathinda,2-4 Yrs,Not Disclosed Yet,"Statistical Analysis, Bfsi, Customer Satisfaction, Finance, Banking, Technology Marketing, Customer Service, Customer Experience"
Bharat Banking:Relationship Manager - Farmer Funding,Axis Bank,Ghaziabad,2-4 Yrs,Not Disclosed Yet,"Statistical Analysis, Bfsi, Customer Satisfaction, Finance, Banking, Technology Marketing, Customer Service, Customer Experience"
Service Manager-Branch Banking-Branch Banking,Kotak Life Insurance,New Delhi,6-8 Yrs,Not Disclosed Yet,"Customer Service, Customer Care, Branch Banking Operations, Customer Support, Branch Operations, Operations Management, Teller Operations, Customer Relationship"
Priority Banking Relationship Manager( Pbrm ) -Axis Bank,Axis Bank,"Dehradun, Kanpur, Lucknow",3-7 Yrs,Not Disclosed Yet,"Portfolio Management, Priority Banking, Hni Client Handling, Preferred Banking, Wealth Management, Private Banking, Client Relationship Management, Relationship Management"
Elite Relationship Manager - Business Banking,Kotak Life Insurance,New Delhi,1-5 Yrs,Not Disclosed Yet,"Sales Initiatives, Sales, Business Banking, Mf, Asset, Export Finance, Customer Service Orientation, Trade Finance"
Personal Banking /Financial Manager | Fresher - Experience,Next Business Services India,"Noida, Ghaziabad, Faridabad, Gurugram, Delhi / Ncr",0-4 Yrs,2.25-4 Lacs Pa,"Retail Banking, Banking Operations, Retail Branch Banking, Personal Banking, Branch Banking, Retail Sales, Private Banking, Branch Operations"
Trade Relationship Manager-Branch Banking-Retail Sales,Kotak Life Insurance,Ahmedabad,1-5 Yrs,Not Disclosed Yet,"Sales, Fx, Branch Operations, Trade, Current Account, Retail Banking, Casa, Import"
Senior Relationship Manager-Business Banking-Priority-Regional Sales,Kotak Life Insurance,New Delhi,7-8 Yrs,Not Disclosed Yet,"Nbfc, Amfi, Sales, Relationship Management, Portfolio Management, Hni, Customer Service Orientation, Casa"
Branch Manager-Branch Banking-Rl Branch Head,Kotak Life Insurance,New Delhi,6-11 Yrs,Not Disclosed Yet,"Financial Instruments, Sales, Liability Products, Marketing, Retail Liabilities, Financial Analysis, Retail Banking, Investment Banking"
Regional Manager-Customer 360-Branch Banking-Regional Sales,Kotak Life Insurance,New Delhi,7-12 Yrs,Not Disclosed Yet,"Regional Sales, Bm, Sales, Banking Sales, Branch Banking, Bc, Pqc, Wbm"
